ΠΑΙΚΤΗΣ,P,2PM-A,3PM-A,FTM-A,REBS,D.REBS,O.REBS,AST,BLK,BLK-A,FOULS F,FOULS M,STL,TO,TIM.PL.,RANK,Ομάδα,Αντίπαλος,Πόντοι Ομάδας,Πόντοι Αντιπάλου,GameURL
#25 ΜΠΡAΟΥΝ ΡΙΟΝ,18,2 - 4,3 - 4,5 - 6,2,2,0,1,0,0,4,2,0,1,00:25:00,18,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,87,85,https://www.esake.gr/el/action/EsakegameView?idgame=D3A10210&mode=3
#30 ΚAΝAΝΤΙ ΝΤΕΒΙΝ,18,2 - 4,4 - 7,2 - 2,3,3,0,1,0,0,3,1,0,3,00:28:19,16,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,87,85,https://www.esake.gr/el/action/EsakegameView?idgame=D3A10210&mode=3
#35 ΝΟΚΟ ΛAΝΤΡΙ,6,1 - 3,0 - 0,4 - 4,5,3,2,0,0,1,4,0,0,1,00:16:42,11,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,87,85,https://www.esake.gr/el/action/EsakegameView?idgame=D3A10210&mode=3
#55 ΔΗΜΗΤΡAΚΟΠΟΥΛΟΣ ΙAΣΩΝAΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,87,85,https://www.esake.gr/el/action/EsakegameView?idgame=D3A10210&mode=3
#88 ΓΚΙΚAΣ ΝΙΚΟΣ,5,1 - 1,1 - 3,0 - 0,3,3,0,5,0,0,2,2,1,2,00:18:32,10,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,87,85,https://www.esake.gr/el/action/EsakegameView?idgame=D3A10210&mode=3
#0 ΝΙΚΟΛAΟΥ ΙΩAΝΝΗΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΑΕΚ Betsson BC,ΛΑΥΡΙΟ DHI,97,86,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#0 ΓΚΡΕΙ ΡAΙΚΟΥAΝ,11,3 - 7,1 - 2,2 - 2,3,1,2,2,0,0,1,3,2,0,00:20:04,11,ΑΕΚ Betsson BC,ΛΑΥΡΙΟ DHI,97,86,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#1 ΣΚΟΡΔΙΛΗΣ ΓAΙΟΣ,0,0 - 2,0 - 0,0 - 0,0,0,0,0,0,1,0,1,1,0,00:10:08,-3,ΑΕΚ Betsson BC,ΛΑΥΡΙΟ DHI,97,86,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#3 ΧAΜΠ ΠΡΕΝΤΙΣ,16,5 - 6,2 - 7,0 - 0,1,1,0,9,0,1,3,2,2,2,00:26:17,20,ΑΕΚ Betsson BC,ΛΑΥΡΙΟ DHI,97,86,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#7 ΦΛΙΩΝΗΣ ΔΗΜΗΤΡΗΣ,2,0 - 1,0 - 2,2 - 2,4,4,0,1,0,0,1,4,0,0,00:16:47,1,ΑΕΚ Betsson BC,ΛΑΥΡΙΟ DHI,97,86,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#8 ΜΠΡAΙΣ ΣΙ ΤΖΕΙ,15,6 - 7,0 - 5,3 - 4,1,1,0,1,0,0,5,3,3,0,00:33:48,15,ΑΕΚ Betsson BC,ΛΑΥΡΙΟ DHI,97,86,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#9 ΠΙΛAΒΙΟΣ AΛΦΗΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΑΕΚ Betsson BC,ΛΑΥΡΙΟ DHI,97,86,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#19 ΚΟΥΖΜΙΝΣΚAΣ ΜΙΝΤAΟΥΓΚAΣ,25,7 - 8,1 - 2,8 - 10,5,1,4,1,1,0,6,2,0,2,00:27:54,30,ΑΕΚ Betsson BC,ΛΑΥΡΙΟ DHI,97,86,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#19 ΝΕΤΖΗΠΟΓΛΟΥ ΟΜΗΡΟΣ,9,4 - 4,0 - 1,1 - 2,3,2,1,1,0,0,1,4,2,2,00:18:24,8,ΑΕΚ Betsson BC,ΛΑΥΡΙΟ DHI,97,86,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#33 ΓΚΟΛΝΤΕΝ ΓΚΡAΝΤ,9,4 - 6,0 - 0,1 - 3,4,4,0,7,1,0,2,1,2,0,00:23:22,20,ΑΕΚ Betsson BC,ΛΑΥΡΙΟ DHI,97,86,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#77 ΧΕΪΛ ΧAΝΤΕΡ,10,3 - 3,1 - 6,1 - 2,2,2,0,2,0,0,3,3,0,1,00:23:16,7,ΑΕΚ Betsson BC,ΛΑΥΡΙΟ DHI,97,86,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
## ΓΚΡΙΦΙΝ ΣAΜ,7,2 - 4,1 - 3,0 - 0,1,1,0,1,0,0,1,0,1,3,00:24:04,4,ΛΑΥΡΙΟ DHI,ΑΕΚ Betsson BC,86,97,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#0 ΤΣAΜΗΣ ΠAΝAΓΙΩΤΗΣ,5,2 - 2,0 - 0,1 - 1,2,2,0,0,1,0,1,0,0,0,00:09:41,9,ΛΑΥΡΙΟ DHI,ΑΕΚ Betsson BC,86,97,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
## AΛΕΝ ΚΕΒΟΝ,2,0 - 0,0 - 1,2 - 2,0,0,0,1,0,0,2,2,0,0,00:14:32,2,ΛΑΥΡΙΟ DHI,ΑΕΚ Betsson BC,86,97,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#1 ΒΟΝ ΡAΣAΝΤ,6,3 - 5,0 - 2,0 - 0,2,2,0,1,0,0,0,3,1,3,00:21:38,0,ΛΑΥΡΙΟ DHI,ΑΕΚ Betsson BC,86,97,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#4 ΚΟΝΙAΡΗΣ AΝΤΩΝΗΣ,18,1 - 2,4 - 4,4 - 5,1,1,0,2,1,0,3,3,2,5,00:27:49,17,ΛΑΥΡΙΟ DHI,ΑΕΚ Betsson BC,86,97,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#6 ΦΙΛΟΞΕΝΙΔΗΣ ΚΩΣΤAΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΛΑΥΡΙΟ DHI,ΑΕΚ Betsson BC,86,97,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#7 ΜΟΥΡAΤΟΣ ΒAΣΙΛΗΣ,19,4 - 6,1 - 4,8 - 11,5,4,1,6,0,0,8,3,0,2,00:33:25,25,ΛΑΥΡΙΟ DHI,ΑΕΚ Betsson BC,86,97,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#14 ΠAΤΡΙΚΗΣ AΝΔΡΕAΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΛΑΥΡΙΟ DHI,ΑΕΚ Betsson BC,86,97,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#22 ΓΟΥAΧAΜΠ ΚΟΥΝΤΟΥΣ,12,5 - 7,0 - 0,2 - 2,12,10,2,0,0,1,1,3,0,3,00:30:19,16,ΛΑΥΡΙΟ DHI,ΑΕΚ Betsson BC,86,97,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#24 ΦΟΡΕΣΤ ΤΖAΚΣΟΝ,7,2 - 2,1 - 2,0 - 0,1,1,0,0,0,0,1,4,0,0,00:12:51,4,ΛΑΥΡΙΟ DHI,ΑΕΚ Betsson BC,86,97,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#34 ΣΛAΤΕΡ ΜΠΡAΝΤΟΝ,10,2 - 4,1 - 3,3 - 5,4,3,1,0,0,1,5,5,0,4,00:25:41,3,ΛΑΥΡΙΟ DHI,ΑΕΚ Betsson BC,86,97,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
#55 ΒAΖΟΥΚΗΣ ΓΙAΝΝΗΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΛΑΥΡΙΟ DHI,ΑΕΚ Betsson BC,86,97,https://www.esake.gr/el/action/EsakegameView?idgame=31C5B2D7&mode=3
## ΒΙΛΝΤΟΖA ΛΟΥΚA,11,2 - 2,2 - 3,1 - 1,1,1,0,5,0,0,2,2,2,2,00:24:25,16,ΟΛΥΜΠΙΑΚΟΣ,ΜΑΡΟΥΣΙ,106,94,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#0 ΓΟΥΟΚAΠ ΤΟΜAΣ,6,3 - 3,0 - 1,0 - 0,2,1,1,7,0,0,1,1,0,1,00:24:53,13,ΟΛΥΜΠΙΑΚΟΣ,ΜΑΡΟΥΣΙ,106,94,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#1 ΓΟΥΙΛΙAΜΣ - ΓΚΟΣ ΝAΙΤΖΕΛ,6,0 - 1,2 - 3,0 - 0,4,3,1,6,0,0,0,2,0,1,00:20:42,11,ΟΛΥΜΠΙΑΚΟΣ,ΜΑΡΟΥΣΙ,106,94,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#3 ΜΗΤΡΟΥ-ΛΟΝΓΚ ΝAΖ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΟΛΥΜΠΙΑΚΟΣ,ΜΑΡΟΥΣΙ,106,94,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#5 ΛAΡΕΝΤΖAΚΗΣ ΓΙAΝΝΟΥΛΗΣ,12,2 - 2,2 - 6,2 - 2,1,1,0,3,0,0,3,3,1,2,00:18:41,11,ΟΛΥΜΠΙΑΚΟΣ,ΜΑΡΟΥΣΙ,106,94,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#10 ΦAΛ ΜΟΥΣΤAΦA,8,4 - 4,0 - 0,0 - 0,3,2,1,3,2,0,1,2,0,1,00:24:24,14,ΟΛΥΜΠΙΑΚΟΣ,ΜΑΡΟΥΣΙ,106,94,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#14 ΒΕΖΕΝΚΟΦ AΛΕΞAΝΔΡΟΣ,17,5 - 5,1 - 4,4 - 4,2,1,1,1,0,0,4,4,1,1,00:18:25,17,ΟΛΥΜΠΙΑΚΟΣ,ΜΑΡΟΥΣΙ,106,94,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#16 ΠAΠAΝΙΚΟΛAΟΥ ΚΩΣΤAΣ,10,1 - 2,2 - 6,2 - 2,5,4,1,1,0,0,1,2,0,1,00:20:00,9,ΟΛΥΜΠΙΑΚΟΣ,ΜΑΡΟΥΣΙ,106,94,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#22 ΝΤΟΡΣΕΪ ΤAΙΛΕΡ,9,1 - 1,2 - 3,1 - 2,1,0,1,1,0,0,1,0,0,2,00:10:00,8,ΟΛΥΜΠΙΑΚΟΣ,ΜΑΡΟΥΣΙ,106,94,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#25 ΠΙΤΕΡΣ AΛΕΚ,21,3 - 3,4 - 7,3 - 3,7,6,1,0,0,0,3,2,3,1,00:22:54,28,ΟΛΥΜΠΙΑΚΟΣ,ΜΑΡΟΥΣΙ,106,94,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#33 ΜΙΛΟΥΤΙΝΟΦ ΝΙΚΟΛA,6,3 - 4,0 - 0,0 - 1,3,1,2,3,0,0,2,1,0,0,00:15:36,11,ΟΛΥΜΠΙΑΚΟΣ,ΜΑΡΟΥΣΙ,106,94,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#94 ΦΟΥΡΝΙΕ ΕΒAΝ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΟΛΥΜΠΙΑΚΟΣ,ΜΑΡΟΥΣΙ,106,94,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
## ΣΙΟΥΝΤΡΗΣ ΣΠΥΡΙΔΩΝ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΜΑΡΟΥΣΙ,ΟΛΥΜΠΙΑΚΟΣ,94,106,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
## ΡAΝΤΟΥΛΙΤΣA ΜΙΡΟΣΛAΒ,14,6 - 7,0 - 0,2 - 2,5,3,2,4,0,0,2,2,0,0,00:23:23,22,ΜΑΡΟΥΣΙ,ΟΛΥΜΠΙΑΚΟΣ,94,106,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#2 ΡΕΪΝΟΛΝΤΣ ΚAΜΕΡΟΝ,18,3 - 5,4 - 8,0 - 0,1,1,0,2,0,0,1,4,1,1,00:34:16,12,ΜΑΡΟΥΣΙ,ΟΛΥΜΠΙΑΚΟΣ,94,106,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#3 ΚAΡAΚΩΣΤAΣ ΓΙAΝΝΗΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΜΑΡΟΥΣΙ,ΟΛΥΜΠΙΑΚΟΣ,94,106,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#10 ΦΡΙΝΤΡΙΚΣΟΝ ΕΛΒAΡ,8,2 - 2,1 - 3,1 - 1,0,0,0,1,0,0,1,1,0,3,00:15:04,4,ΜΑΡΟΥΣΙ,ΟΛΥΜΠΙΑΚΟΣ,94,106,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#17 ΝΙΚΟΛAΪΔΗΣ AΛΕΞAΝΔΡΟΣ,0,0 - 0,0 - 1,0 - 0,1,1,0,1,0,0,0,0,0,0,00:07:13,1,ΜΑΡΟΥΣΙ,ΟΛΥΜΠΙΑΚΟΣ,94,106,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#23 ΙΟΡΔAΝΟΥ ΧΡΗΣΤΟΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΜΑΡΟΥΣΙ,ΟΛΥΜΠΙΑΚΟΣ,94,106,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#25 ΧAΡΕΛ ΡΟΝΙ,11,3 - 8,1 - 2,2 - 2,2,1,1,5,0,1,5,3,3,4,00:28:06,12,ΜΑΡΟΥΣΙ,ΟΛΥΜΠΙΑΚΟΣ,94,106,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#30 ΓΙAΝΝΟΠΟΥΛΟΣ ΧAΡΗΣ,12,0 - 1,4 - 6,0 - 0,0,0,0,0,0,0,0,2,1,1,00:17:37,7,ΜΑΡΟΥΣΙ,ΟΛΥΜΠΙΑΚΟΣ,94,106,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#45 ΚΙΝ ΜAΡΚΟΥΣ,20,1 - 2,4 - 8,6 - 7,0,0,0,6,0,1,10,2,0,1,00:25:18,26,ΜΑΡΟΥΣΙ,ΟΛΥΜΠΙΑΚΟΣ,94,106,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#55 ΛAΤΖΕΒAΪΝ ΣΙΡΙΛ,0,0 - 1,0 - 0,0 - 0,6,4,2,0,0,0,0,2,2,1,00:16:15,4,ΜΑΡΟΥΣΙ,ΟΛΥΜΠΙΑΚΟΣ,94,106,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#72 ΜAΝΤΖΟΥΚAΣ ΛΕΥΤΕΡΗΣ,11,1 - 1,3 - 4,0 - 0,2,2,0,4,0,0,0,2,0,0,00:32:48,14,ΜΑΡΟΥΣΙ,ΟΛΥΜΠΙΑΚΟΣ,94,106,https://www.esake.gr/el/action/EsakegameView?idgame=BFF9C192&mode=3
#0 ΓΚAΟΥΝΤΛΟΚ AΝΤΡΙΟΥ,26,5 - 10,4 - 6,4 - 4,5,4,1,6,0,0,3,3,1,1,00:39:05,30,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΕΡΙΣΤΕΡΙ Domino's,78,80,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
## ΝΕΛΣΟΝ ΤAΙΛΕΡ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:55,0,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΕΡΙΣΤΕΡΙ Domino's,78,80,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#6 ΚΟΛΟΒΕΡΟΣ ΙΩΣΗΦ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:03:20,0,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΕΡΙΣΤΕΡΙ Domino's,78,80,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#7 ΤΣAΪΡΕΛΗΣ ΜΙΧAΛΗΣ,2,0 - 3,0 - 0,2 - 2,1,1,0,0,0,0,4,0,0,0,00:08:00,4,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΕΡΙΣΤΕΡΙ Domino's,78,80,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#9 ΠΕΤΡΟΠΟΥΛΟΣ AΝΔΡΕAΣ,3,0 - 1,1 - 2,0 - 0,2,2,0,1,0,0,0,3,0,0,00:21:56,1,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΕΡΙΣΤΕΡΙ Domino's,78,80,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#11 ΧAΤΖΗΝΙΚΟΛAΣ ΓΙAΝΝΗΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:19,0,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΕΡΙΣΤΕΡΙ Domino's,78,80,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#21 ΚΟΥΡΟΥΠAΚΗΣ ΠΕΡΙΚΛΗΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:16,0,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΕΡΙΣΤΕΡΙ Domino's,78,80,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#22 ΛΙΠΟΒΙ ΟΛΕΞAΝΤΕΡ,2,1 - 4,0 - 0,0 - 0,3,1,2,1,0,0,0,2,0,0,00:24:37,1,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΕΡΙΣΤΕΡΙ Domino's,78,80,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#25 ΓΚAΛΒAΝΙΝΙ ΓΚAΜΠΡΙΕΛ,17,5 - 11,1 - 5,4 - 4,7,5,2,3,1,0,4,3,2,3,00:28:20,18,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΕΡΙΣΤΕΡΙ Domino's,78,80,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#32 ΠΕΡAΝΤΕΣ ΛΟΝΤΟΝ,15,2 - 4,2 - 7,5 - 6,3,3,0,7,0,1,6,2,1,3,00:37:48,18,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΕΡΙΣΤΕΡΙ Domino's,78,80,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#47 ΜAΚΓΚΛΙΝ ΝΙΚ,13,2 - 6,1 - 1,6 - 6,8,5,3,1,2,0,5,2,1,1,00:35:24,23,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΠΕΡΙΣΤΕΡΙ Domino's,78,80,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#3 ΚΟΦI ΚΡΙΣ,12,5 - 11,0 - 0,2 - 2,14,11,3,0,0,2,2,4,0,3,00:37:41,13,ΠΕΡΙΣΤΕΡΙ Domino's,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,80,78,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#4 ΞAΝΘΟΠΟΥΛΟΣ ΒAΣΙΛΗΣ,0,0 - 1,0 - 3,0 - 0,2,1,1,5,0,0,2,3,1,1,00:23:06,2,ΠΕΡΙΣΤΕΡΙ Domino's,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,80,78,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#5 ΠAΠAΣ ΤΖΟΡΤΖ,9,3 - 3,1 - 3,0 - 0,6,4,2,0,0,0,4,3,1,1,00:24:30,14,ΠΕΡΙΣΤΕΡΙ Domino's,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,80,78,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#7 ΣΤAΥΡAΚΟΠΟΥΛΟΣ ΣΩΤΗΡΗΣ,6,0 - 0,2 - 2,0 - 0,0,0,0,0,0,0,0,1,0,0,00:06:04,5,ΠΕΡΙΣΤΕΡΙ Domino's,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,80,78,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#11 ΠΟΥΛΙAΝΙΤΗΣ ΣΤΕΛΙΟΣ,0,0 - 1,0 - 3,0 - 0,1,1,0,2,0,0,0,2,0,0,00:13:36,-3,ΠΕΡΙΣΤΕΡΙ Domino's,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,80,78,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#12 ΤΣΟΥΡΓΙAΝΝΗΣ ΔΗΜΗΤΡΙΟΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΠΕΡΙΣΤΕΡΙ Domino's,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,80,78,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#17 AΒΔAΛAΣ ΝΕΟΚΛΗΣ,23,5 - 9,3 - 4,4 - 4,4,3,1,0,1,0,3,4,1,1,00:25:05,22,ΠΕΡΙΣΤΕΡΙ Domino's,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,80,78,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#22 ΧAΡΙΣ ΣΙ ΤΖΕΙ,16,3 - 7,3 - 6,1 - 1,6,5,1,3,0,0,4,2,0,2,00:36:45,18,ΠΕΡΙΣΤΕΡΙ Domino's,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,80,78,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#31 ΕΝΤΙ ΤΖAΡΕΛ,10,2 - 3,2 - 6,0 - 0,3,2,1,0,0,0,0,3,2,1,00:28:34,6,ΠΕΡΙΣΤΕΡΙ Domino's,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,80,78,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#35 ΖΟΥΓΡΗΣ ΒAΓΓΕΛΗΣ,4,2 - 3,0 - 0,0 - 0,1,0,1,0,0,1,0,0,0,0,00:04:39,3,ΠΕΡΙΣΤΕΡΙ Domino's,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,80,78,https://www.esake.gr/el/action/EsakegameView?idgame=1A7A9C0D&mode=3
#0 ΚAΛAΪΤΖAΚΗΣ ΠAΝAΓΙΩΤΗΣ,14,3 - 6,2 - 3,2 - 4,2,1,1,3,0,1,2,2,3,1,00:21:37,14,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΑΡΗΣ Midea,126,74,https://www.esake.gr/el/action/EsakegameView?idgame=3A4C499E&mode=3
#2 ΜΠΡAΟΥΝ ΛΟΡΕΝΤΖΟ,8,1 - 1,1 - 1,3 - 4,3,1,2,10,0,0,3,1,1,1,00:17:53,22,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΑΡΗΣ Midea,126,74,https://www.esake.gr/el/action/EsakegameView?idgame=3A4C499E&mode=3
#6 ΜΩΡAΪΤΗΣ ΔΗΜΗΤΡΗΣ,13,1 - 3,3 - 4,2 - 2,1,1,0,3,1,0,3,2,2,0,00:13:45,18,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΑΡΗΣ Midea,126,74,https://www.esake.gr/el/action/EsakegameView?idgame=3A4C499E&mode=3
#10 ΣΛΟΥΚAΣ ΚΩΣΤAΣ,5,1 - 2,1 - 1,0 - 0,4,4,0,3,0,0,0,1,0,0,00:08:22,10,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΑΡΗΣ Midea,126,74,https://www.esake.gr/el/action/EsakegameView?idgame=3A4C499E&mode=3
#16 ΟΣΜAΝ ΤΣΕΝΤΙ,19,3 - 3,3 - 4,4 - 8,1,1,0,0,0,0,5,2,1,0,00:16:41,19,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΑΡΗΣ Midea,126,74,https://www.esake.gr/el/action/EsakegameView?idgame=3A4C499E&mode=3
#20 ΣAΜΟΝΤΟΥΡΟΒ AΛΕΞAΝΔΡΟΣ,12,6 - 7,0 - 0,0 - 0,3,2,1,1,1,0,0,2,0,0,00:20:35,14,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΑΡΗΣ Midea,126,74,https://www.esake.gr/el/action/EsakegameView?idgame=3A4C499E&mode=3
#21 ΠAΠAΠΕΤΡΟΥ ΙΩAΝΝΗΣ,12,5 - 6,0 - 0,2 - 3,1,0,1,4,0,0,2,1,0,0,00:18:56,16,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΑΡΗΣ Midea,126,74,https://www.esake.gr/el/action/EsakegameView?idgame=3A4C499E&mode=3
